1;1;1;Комплект мебели для гостиной Ольха горная;1549922;160507.0000
2;1;1;Стенка для гостиной Вишня темная;1018556;216907.0000
3;2;2;Прихожая Венге Винтаж;3028272;24970.0000
4;2;2;Тумба с вешалкой Дуб натуральный;3029272;18206.0000
5;2;1;Прихожая-комплект Дуб темный;3028248;177509.0000
6;3;1;Диван-кровать угловой Книжка;7118827;85900.0000
7;3;1;Диван модульный Телескоп;7137981;75900.0000
8;3;1;Диван-кровать Соло;7029787;120345.0000
9;3;3;Детский диван Выкатной;7758953;25990.0000
10;4;1;Кровать с подъемным механизмом с матрасом 1600х2000 Венге;6026662;69500.0000
11;4;2;Кровать с матрасом 90х2000 Венге;6159043;55600.0000
12;4;2;Кровать универсальная Дуб натуральный;6588376;37900.0000
13;4;3;Кровать с ящиками Ясень белый;6758375;46750.0000
14;5;2;Шкаф-купе 3-х дверный Сосна белая;2759324;131560.0000
15;5;1;Стеллаж Бук натуральный;2118827;38700.0000
16;5;3;Шкаф 4 дверный с ящиками Ясень серый;2559898;160151.0000
17;5;3;Шкаф-пенал Береза белый;2259474;40500.0000
18;6;1;Комод 6 ящиков Вишня светлая;4115947;61235.0000
19;6;1;Комод 4 ящика Вишня светлая;4033136;41200.0000
20;6;4;Тумба под ТВ ;4028048;12350.0000
